"company_id";"company_name";"ticker";"active"
178;"1-800-FLOWERS.COM INC-CL A";"FLWS US";1
503;"500.COM LTD-CLASS A-ADR";"WBAI US";1
2;"AARON'S INC";"AAN US";1
18;"ABERCROMBIE & FITCH CO-CL A";"ANF US";1
28;"ACTIVISION BLIZZARD INC";"ATVI US";1
6;"ADOBE INC";"ADBE US";1
3;"ADVANCE AUTO PARTS INC";"AAP US";1
13;"ALARM.COM HOLDINGS INC";"ALRM US";1
11;"ALASKA AIR GROUP INC";"ALK US";1
10;"ALLEGIANT TRAVEL CO";"ALGT US";1
12;"ALLEGION PLC";"ALLE US";1
206;"Alphabet INC.";"GOOG US";1
16;"AMAZON.COM INC";"AMZN US";1
14;"AMC NETWORKS INC-A";"AMCX US";1
101;"AMERICA'S CAR-MART INC";"CRMT US";1
1;"AMERICAN AIRLINES GROUP INC";"AAL US";1
9;"AMERICAN EAGLE OUTFITTERS";"AEO US";1
30;"AMERICAN EXPRESS CO";"AXP US";1
157;"AMERICAN GREEN INC";"ERBB US";1
19;"ANGI HOMESERVICES INC- A";"ANGI US";1
4;"APPLE INC";"AAPL US";1
21;"APPTIO INC - CLASS A";"APTI US";0
25;"ARAMARK";"ARMK US";1
23;"ARCOS DORADOS HOLDINGS INC-A";"ARCO US";1
24;"ARK RESTAURANTS CORP";"ARKR US";1
5;"ASBURY AUTOMOTIVE GROUP";"ABG US";1
27;"ASCENA RETAIL GROUP INC";"ASNA US";1
26;"ASOS PLC";"ASC LN";1
232;"AT HOME GROUP INC";"HOME US";1
450;"AT&T INC";"T US";1
7;"AUTOMATIC DATA PROCESSING";"ADP US";1
17;"AUTONATION INC";"AN US";1
31;"AUTOZONE INC";"AZO US";1
29;"AVIANCA HOLDINGS SA-SPON ADR";"AVH US";1
64;"AVIS BUDGET GROUP INC";"CAR US";1
32;"BANK OF AMERICA CORP";"BAC US";1
45;"BARNES & NOBLE INC";"BKS US";0
54;"BASSETT FURNITURE INDS";"BSET US";1
47;"BAYERISCHE MOTOREN WERKE AG";"BMW GR";1
33;"BED BATH & BEYOND INC";"BBBY US";1
37;"BELMOND LTD-CLASS A";"BEL US";0
36;"BEST BUY CO INC";"BBY US";1
38;"BIG 5 SPORTING GOODS CORP";"BGFV US";1
41;"BIG LOTS INC";"BIG US";1
39;"BIGLARI HOLDINGS INC-B";"BH US";1
42;"BJ'S RESTAURANTS INC";"BJRI US";1
46;"BLOOMIN' BRANDS INC";"BLMN US";1
20;"BLUE APRON HOLDINGS INC-A";"APRN US";1
333;"BLUE NILE INC";"NILE US";0
48;"BOJANGLES' INC";"BOJA US";0
49;"BON-TON STORES INC/THE";"BONTQ US";1
50;"BOOHOO GROUP PLC";"BOO LN";1
44;"BOOKING HOLDINGS INC";"BKNG US";1
51;"BOOT BARN HOLDINGS INC";"BOOT US";1
52;"BOX INC - CLASS A";"BOX US";1
