news_item_id,date,headline,link,company,ticker,signal
489,2020-05-12 13:00:00+00,"PetIQ, Inc. Launches Telehealth Platform for Pet Parents",http://www.globenewswire.com/news-release/2020/05/12/2031954/0/en/PetIQ-Inc-Launches-Telehealth-Platform-for-Pet-Parents.html,"PETIQ, INC.",PETQ.OQ,1.0
1585,2020-05-23 03:27:00+00,Avarga Limited Enters into Agreements to Acquire Shares of Taiga Building Products Ltd.,http://www.globenewswire.com/news-release/2020/05/23/2037884/0/en/Avarga-Limited-Enters-into-Agreements-to-Acquire-Shares-of-Taiga-Building-Products-Ltd.html,AVARGA LIMITED,AVAR.SI,0.9906
1978,2020-05-27 11:45:00+00,DraftKings Announces Redemption of Public Warrants,http://www.globenewswire.com/news-release/2020/05/27/2039288/0/en/DraftKings-Announces-Redemption-of-Public-Warrants.html,DIAMOND EAGLE ACQUISITION CORP.,DEACU.OQ,0.9878
1894,2020-05-26 15:24:00+00,"Cryptocurrency Market to Reach USD 1,758.0 Million by 2027; Modifications in Virtual Currency Methods to Spur Business Opportunities, states Fortune Business Insights™",http://www.globenewswire.com/news-release/2020/05/26/2038787/0/en/Cryptocurrency-Market-to-Reach-USD-1-758-0-Million-by-2027-Modifications-in-Virtual-Currency-Methods-to-Spur-Business-Opportunities-states-Fortune-Business-Insights.html,INTEL CORPORATION,INTC.OQ,0.9814
1894,2020-05-26 15:24:00+00,"Cryptocurrency Market to Reach USD 1,758.0 Million by 2027; Modifications in Virtual Currency Methods to Spur Business Opportunities, states Fortune Business Insights™",http://www.globenewswire.com/news-release/2020/05/26/2038787/0/en/Cryptocurrency-Market-to-Reach-USD-1-758-0-Million-by-2027-Modifications-in-Virtual-Currency-Methods-to-Spur-Business-Opportunities-states-Fortune-Business-Insights.html,"XILINX, INC.",XLNX.OQ,0.9814
1318,2020-05-21 11:00:00+00,"Caldas Gold to Acquire Juby Project in Abitibi Greenstone Belt in Ontario, Canada",http://www.globenewswire.com/news-release/2020/05/21/2036915/0/en/Caldas-Gold-to-Acquire-Juby-Project-in-Abitibi-Greenstone-Belt-in-Ontario-Canada.html,Caldas Gold Corp.,CGC.V,0.9794
1318,2020-05-21 11:00:00+00,"Caldas Gold to Acquire Juby Project in Abitibi Greenstone Belt in Ontario, Canada",http://www.globenewswire.com/news-release/2020/05/21/2036915/0/en/Caldas-Gold-to-Acquire-Juby-Project-in-Abitibi-Greenstone-Belt-in-Ontario-Canada.html,"ZENERGY BRANDS, INC.",ZNGYQ.PK,0.9794
1264,2020-05-15 23:06:00+00,Southstone Confirms Shareholder Approval For Disposition of the Kwena Group,http://www.globenewswire.com/news-release/2020/05/15/2034562/0/en/Southstone-Confirms-Shareholder-Approval-For-Disposition-of-the-Kwena-Group.html,Southstone Minerals Limited,SML.V,0.9756
1123,2020-05-15 13:22:00+00,Enhanced Oil Recovery Market to Hit USD 20.06 Billion by 2027; Advancements in Oil Extraction Technologies in Major Economies to Aid Market Expansion: Fortune Business Insights™,http://www.globenewswire.com/news-release/2020/05/15/2034287/0/en/Enhanced-Oil-Recovery-Market-to-Hit-USD-20-06-Billion-by-2027-Advancements-in-Oil-Extraction-Technologies-in-Major-Economies-to-Aid-Market-Expansion-Fortune-Business-Insights.html,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,PETR4.SA,0.9738
1123,2020-05-15 13:22:00+00,Enhanced Oil Recovery Market to Hit USD 20.06 Billion by 2027; Advancements in Oil Extraction Technologies in Major Economies to Aid Market Expansion: Fortune Business Insights™,http://www.globenewswire.com/news-release/2020/05/15/2034287/0/en/Enhanced-Oil-Recovery-Market-to-Hit-USD-20-06-Billion-by-2027-Advancements-in-Oil-Extraction-Technologies-in-Major-Economies-to-Aid-Market-Expansion-Fortune-Business-Insights.html,Husky Energy Inc.,HSE.TO,0.9738
