date,ticker,link,signal,size
2020-05-27 11:45:00+00,DEACU.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039288/0/en/DraftKings-Announces-Redemption-of-Public-Warrants.html,0.9878,0.003861099
2020-05-27 11:45:00+00,BDTX.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039289/0/en/Black-Diamond-Therapeutics-to-Present-at-the-Jefferies-Virtual-Healthcare-Conference.html,0.34,0.009941128
2020-05-27 11:41:00+00,RACE.MI,http://www.globenewswire.com/news-release/2020/05/27/2039283/0/en/Ferrari-Announces-Settlement-of-its-Notes-offering.html,0.1027,0.013906974
2020-05-27 11:40:00+00,MESA.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039281/0/en/SHAREHOLDER-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-of-Mesa-Air-Group-Inc-MESA.html,0,0.000435371
2020-05-27 11:40:00+00,TRUh.V,http://www.globenewswire.com/news-release/2020/05/27/2039282/0/en/Trius-Announces-Stock-Option-Grant.html,0.8834,0.004363076
2020-05-27 11:39:00+00,LBRT.N,http://www.globenewswire.com/news-release/2020/05/27/2039279/0/en/SHAREHOLDER-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-of-Liberty-Oilfield-Services-Inc-LBRT.html,0.5267,0.015082464
2020-05-27 11:39:00+00,PARR.N,http://www.globenewswire.com/news-release/2020/05/27/2039277/0/en/Par-Pacific-Holdings-Announces-Private-Offering-of-100-Million-of-Senior-Secured-Notes-Due-2026.html,0.8316,0.00434505
2020-05-27 11:36:00+00,GOSS.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039273/0/en/SHAREHOLDER-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-of-Gossamer-Bio-Inc-GOSS.html,0,0.000588893
2020-05-27 11:33:00+00,IAN.CD,http://www.globenewswire.com/news-release/2020/05/27/2039268/0/en/SHAREHOLDER-ALERT-Pomerantz-Law-Firm-Reminds-Shareholders-with-Losses-on-their-Investment-in-iAnthus-Capital-Holdings-Inc-Class-Action-Lawsuit-and-Upcoming-Deadline-ITHUF.html,0.3182,0.01086554
2020-05-27 11:30:00+00,CRNX.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039260/0/en/Crinetics-Pharmaceuticals-Appoints-Adriana-Cabr%C3%A9-MBA-as-Vice-President-of-Human-Resources.html,0.5994,0.015454112
2020-05-27 11:30:00+00,BLCM.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039257/0/en/Bellicum-to-Participate-in-Two-Upcoming-Virtual-Investor-Conferences.html,0.3182,0.007346743
2020-05-27 11:30:00+00,VRCA.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039256/0/en/Verrica-Pharmaceuticals-to-Present-at-the-Jefferies-2020-Healthcare-Conference.html,0,0.014769421
2020-05-27 11:30:00+00,MGNX.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039265/0/en/MacroGenics-Announces-Registration-Study-of-Flotetuzumab-in-Patients-with-Refractory-Acute-Myeloid-Leukemia.html,0.8374,0.00354831
2020-05-27 11:30:00+00,CYTK.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039261/0/en/Cytokinetics-and-The-ALS-Association-Renew-Partnership-to-Advance-the-Fight-Against-ALS.html,0.4767,0.009814877
2020-05-27 11:30:00+00,ZLAB.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039262/0/en/Zai-Lab-Announces-Presentations-at-June-Conferences.html,0.25,0.00278953
2020-05-27 11:30:00+00,LOVE.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039258/0/en/The-Lovesac-Company-to-Announce-First-Quarter-Fiscal-2021-Earnings-Results.html,0.7125,0.008172177
2020-05-27 11:30:00+00,PCRX.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039259/0/en/Pacira-BioSciences-to-Present-at-the-2020-Jefferies-Virtual-Healthcare-Conference.html,0,0.013838599
2020-05-27 11:30:00+00,VTVT.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039264/0/en/vTv-Therapeutics-to-Present-Full-Clinical-Study-Results-from-the-Positive-Phase-2-Simplici-T1-Study-of-TTP399-Potential-First-in-Class-Oral-Adjunctive-Therapy-for-Patients-with-Typ.html,0,0.005501065
2020-05-27 11:00:00+00,ESEA.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039220/0/en/Euroseas-Ltd-Reports-Results-for-the-Quarter-Ended-March-31-2020.html,0,0.014163144
2020-05-27 11:00:00+00,AZN.L,http://www.globenewswire.com/news-release/2020/05/27/2039232/0/en/RedHill-Biopharma-Provides-Q1-2020-Financial-Results-and-Recent-Highlights-Including-Initial-Movantik-Revenues.html,0.5574,0.008218282
2020-05-27 11:00:00+00,FPRX.OQ,http://www.globenewswire.com/news-release/2020/05/27/2039232/0/en/RedHill-Biopharma-Provides-Q1-2020-Financial-Results-and-Recent-Highlights-Including-Initial-Movantik-Revenues.html,0.5574,0.015647814
2020-05-27 10:21:00+00,IBM.N,http://www.globenewswire.com/news-release/2020/05/27/2039196/0/en/Energy-Management-Systems-Market-to-Reach-48-901-1-Million-by-2026-High-Demand-for-Novel-Products-to-Boost-Growth-Fortune-Business-Insights.html,0.4939,0.010490737
2020-05-27 10:21:00+00,ROK.N,http://www.globenewswire.com/news-release/2020/05/27/2039196/0/en/Energy-Management-Systems-Market-to-Reach-48-901-1-Million-by-2026-High-Demand-for-Novel-Products-to-Boost-Growth-Fortune-Business-Insights.html,0.4939,0.016448332
2020-05-27 10:21:00+00,6503.T,http://www.globenewswire.com/news-release/2020/05/27/2039196/0/en/Energy-Management-Systems-Market-to-Reach-48-901-1-Million-by-2026-High-Demand-for-Novel-Products-to-Boost-Growth-Fortune-Business-Insights.html,0.4939,0.005188366
2020-05-27 10:21:00+00,ETN.N,http://www.globenewswire.com/news-release/2020/05/27/2039196/0/en/Energy-Management-Systems-Market-to-Reach-48-901-1-Million-by-2026-High-Demand-for-Novel-Products-to-Boost-Growth-Fortune-Business-Insights.html,0.4939,0.004872722
2020-05-27 10:21:00+00,GE.N,http://www.globenewswire.com/news-release/2020/05/27/2039196/0/en/Energy-Management-Systems-Market-to-Reach-48-901-1-Million-by-2026-High-Demand-for-Novel-Products-to-Boost-Growth-Fortune-Business-Insights.html,0.4939,0.01517658
2020-05-27 10:21:00+00,HON.N,http://www.globenewswire.com/news-release/2020/05/27/2039196/0/en/Energy-Management-Systems-Market-to-Reach-48-901-1-Million-by-2026-High-Demand-for-Novel-Products-to-Boost-Growth-Fortune-Business-Insights.html,0.4939,0.008436825
